JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 K1-K2 s14 K1-K3 s15 K2-K3 s16
Aperture: 6, Filter: L, JD: geocentric
2459543.3454861 0.59592 0.00938 1.20257 0.00968 0.74771 0.01029 0.14350 0.01158 1.26364 0.00989 0.80878 0.01048 0.20457 0.01175 0.96751 0.00887 0.51265 0.00953 -0.09156 0.01091 0.00731 0.00666 -0.44755 0.00752 -1.05176 0.00920 -0.45486 0.00750 -1.05907 0.00919 -0.60421 0.00983
2459543.3462500 0.59768 0.00938 1.21650 0.00967 0.75584 0.01029 0.14533 0.01160 1.26435 0.00989 0.80369 0.01050 0.19318 0.01179 0.97944 0.00887 0.51878 0.00954 -0.09173 0.01094 0.02319 0.00666 -0.43747 0.00753 -1.04797 0.00925 -0.46066 0.00749 -1.07117 0.00922 -0.61051 0.00986
2459543.3470023 0.60968 0.00939 1.21293 0.00970 0.76318 0.01031 0.14939 0.01160 1.26206 0.00988 0.81231 0.01047 0.19852 0.01175 0.95821 0.00880 0.50846 0.00946 -0.10532 0.01086 0.00576 0.00665 -0.44399 0.00751 -1.05777 0.00920 -0.44975 0.00749 -1.06353 0.00919 -0.61379 0.00982
2459543.3477662 0.60239 0.00936 1.21511 0.00967 0.75201 0.01028 0.14641 0.01157 1.25548 0.00982 0.79238 0.01042 0.18678 0.01170 0.97586 0.00885 0.51275 0.00951 -0.09285 0.01089 0.01694 0.00665 -0.44616 0.00751 -1.05177 0.00920 -0.46310 0.00749 -1.06870 0.00918 -0.60560 0.00982
2459543.3485301 0.60849 0.00938 1.20465 0.00969 0.75268 0.01030 0.14677 0.01158 1.24134 0.00982 0.78937 0.01042 0.18346 0.01169 0.95217 0.00882 0.50020 0.00948 -0.10570 0.01086 0.00257 0.00666 -0.44940 0.00751 -1.05531 0.00919 -0.45197 0.00750 -1.05787 0.00919 -0.60591 0.00982
2459543.3492940 0.59496 0.00934 1.19828 0.00965 0.74602 0.01025 0.13632 0.01156 1.24816 0.00982 0.79591 0.01041 0.18621 0.01170 0.96714 0.00889 0.51488 0.00953 -0.09482 0.01093 0.00658 0.00667 -0.44567 0.00751 -1.05537 0.00921 -0.45225 0.00749 -1.06195 0.00920 -0.60970 0.00983
2459543.3500463 0.61555 0.00942 1.21649 0.00973 0.75529 0.01034 0.15440 0.01163 1.24683 0.00983 0.78563 0.01044 0.18474 0.01171 0.95795 0.00884 0.49675 0.00951 -0.10414 0.01089 0.00671 0.00667 -0.45449 0.00753 -1.05538 0.00922 -0.46120 0.00752 -1.06209 0.00921 -0.60089 0.00985
2459543.3508102 0.61404 0.00948 1.22470 0.00978 0.76946 0.01039 0.16048 0.01169 1.26171 0.00992 0.80646 0.01052 0.19749 0.01181 0.97120 0.00890 0.51595 0.00957 -0.09302 0.01097 0.01333 0.00668 -0.44192 0.00754 -1.05089 0.00926 -0.45524 0.00752 -1.06422 0.00924 -0.60897 0.00988
2459543.3515741 0.60614 0.00943 1.21256 0.00974 0.76249 0.01034 0.14450 0.01166 1.24675 0.00987 0.79667 0.01046 0.17868 0.01177 0.97324 0.00892 0.52317 0.00957 -0.09482 0.01099 0.00989 0.00670 -0.44018 0.00754 -1.05817 0.00927 -0.45007 0.00753 -1.06806 0.00926 -0.61799 0.00989
2459543.3530208 0.59590 0.00940 1.20636 0.00970 0.75326 0.01030 0.13615 0.01163 1.25322 0.00985 0.80012 0.01045 0.18301 0.01175 0.97458 0.00888 0.52148 0.00953 -0.09563 0.01095 0.01427 0.00667 -0.43883 0.00752 -1.05594 0.00925 -0.45310 0.00749 -1.07021 0.00922 -0.61711 0.00985
2459543.3537963 0.60393 0.00943 1.21346 0.00974 0.75909 0.01034 0.14028 0.01167 1.24026 0.00981 0.78590 0.01041 0.16708 0.01172 0.97307 0.00890 0.51870 0.00955 -0.10011 0.01097 0.01745 0.00669 -0.43691 0.00754 -1.05573 0.00927 -0.45436 0.00751 -1.07318 0.00924 -0.61881 0.00987
2459543.3545486 0.61382 0.00943 1.21970 0.00973 0.76681 0.01033 0.15177 0.01164 1.25438 0.00987 0.80149 0.01045 0.18645 0.01175 0.97041 0.00886 0.51752 0.00951 -0.09752 0.01093 0.00771 0.00666 -0.44519 0.00750 -1.06022 0.00923 -0.45289 0.00749 -1.06792 0.00922 -0.61503 0.00984
2459543.3553125 0.60079 0.00935 1.20409 0.00966 0.75528 0.01026 0.15109 0.01156 1.26397 0.00992 0.81515 0.01051 0.21096 0.01177 0.96294 0.00885 0.51412 0.00950 -0.09007 0.01089 0.00331 0.00667 -0.44550 0.00751 -1.04969 0.00920 -0.44881 0.00750 -1.05300 0.00919 -0.60419 0.00982
